019,ISPRAVKA VRIJEDNOSTI STALNIH NEMATERIJALNIH SREDSTAVA
0190,ISPRAVKA VRIJEDNOSTI PATENATA LICENCI I KONCESIJA
0191,ISPRAVKA VRIJEDNOSTI OSNIVAČKIH IZDATAKA
0192,ISPRAVKA VRIJEDNOSTI IZDATAKA ZA ISTRAŽIVANJE I RAZVOJ
0193,ISPRAVKA VRIJEDNOSTI GOODWILLA
0195,ISPRAVKA VRIJEDNOSTI OSTALIH NEMATERIJALNIH SREDSTAVA
02,NEKRETNINE POSTROJENJA I OPREMA
0202,ŠUMSKO ZEMLJIŠTE
0203,OSTALA ZEMLJIŠTA
0204,PRIVREDNA ŠUME
0205,ŠUME SA POSEBNOM NAMJENOM
0206,OSTALE ŠUME
0213,SKLADIŠNE HALE
0215,KANALIZACIJSKI I OBJEKTI ZA PROĆIŠĆ OTPADNIH VODA
0218,OSTALI GRAĐEVINSKI OBJEKTI
0228,REVALORIZACIJA OPREME
55680,POREZI KOJI NE ZAVISE OD FIN.REZULTATA I TAKSE
2710,PDV PLAĆEN PRI UVOZU DOBARA
5238,TROŠKOVI SLUŽBENIH PUTOVANJA ZAPOSLENIH
55311,BANKARSKE USLUGE
55312,BANKARSKE USLUGE
55313,BANKARSKE USLUGE
2003,KM RAČUN UPI
10374,SITAN INVENTAR - POSUĐE KUHINJSKI INVENTAR
2008,* KM RAČUN UPI BANKA
55404,INTERNET INFRASTRUKTURA
4700,PDV PO OSNOVU ISPORUKA DRUGIM OBVEZNICIMA PDV-A
0260,STAMBENE ZGRADE I STANOVI
0261,STAMBENE ZGRADE I STANOVI
55408,TROŠKOVI POŠTANSKIH I TELEKOMUNIKACIONIH USLUGAPRODAJU
0265,STAMBENE ZGRADE I STANOVI
0268,STAMBENE ZGRADE I STANOVI
0252,OPREMA U PRIPREMI
0255,ULAGANJA U TOKU U OSTALA MATERIJALNA STALNA SREDSTVA
0258,REVALORIZACIJA MATERIJALNIH SREDSTAVA U PRIPREMI
042,OSNOVNO STADO
6380,PRIHODI IZ RANIJIH GODINA
451,OBAVEZE ZA POREZ I POSEBNE DAŽBINE NA PLAĆE
0262,OPREMA VAN UPOTREBE
0263,VIŠEGODIŠNJI ZASADI VAN UPOTREBE
0264,STAMBENE ZGRADE I STANOVI VAN UPOTREBE
5590,OSTALI TROŠKOVI POSLOVANJA
027,AVANSI ZA NEKRETNINE POSTROJENJA I OPREMU
0270,DATI AVANS ZA ZEMLJIŠTE I ŠUME
0272,DATI AVANS ZA OPREMU
0273,DATI AVANS ZA VIŠEGODIŠNJE ZASADE I STADO
0275,OSTALI DATI AVANSI
0278,REVALORIZACIJA AVANSA
